Id;GameId;Goal;Winner;Penalty;Minute
20;6015;1-0;1;0;85
21;6016;0-1;1;0;60
22;6017;1-0;0;0;49
23;6019;1-0;1;0;33
24;6020;1.tammi;0;0;83
25;6021;1.tammi;0;0;39
26;6022;1.tammi;0;0;76
27;6023;1.tammi;0;0;55
28;6024;2.tammi;0;0;93
29;6027;0-1;1;0;9
30;6027;0-2;0;0;32
31;6028;1-0;1;0;7
32;6028;2-0;0;0;55
33;6028;3-0;0;0;84
1023;6030;1.tammi;0;0;43
1024;6031;1.tammi;0;0;53
1025;6032;0-1;0;0;25
1026;6032;0-2;0;0;44
2023;6033;1.tammi;0;0;10
2024;6033;2.helmi;0;0;16
2025;6033;3.helmi;1;0;65
3023;6034;0-1;0;0;8
3024;6034;2.helmi;0;0;87
3025;6035;1.tammi;0;0;55
3026;6035;2.tammi;1;0;77
3027;6035;3.tammi;0;0;80
3028;6036;1.tammi;0;0;45
3029;6036;2.tammi;0;1;62
3030;6036;3.tammi;1;0;75
4023;6037;1.tammi;0;0;68
4024;6039;1-0;0;0;6
4025;6039;2.helmi;0;0;72
4026;6040;1-0;0;0;22
4027;6040;2.helmi;0;1;81
5027;9057;1.tammi;0;0;14
5028;9057;2.tammi;0;0;24
22100;9059;1-0;1;0;51
22070;11053;1-0;0;1;22
22071;11053;2.tammi;0;0;63
22072;11053;3.helmi;1;1;88
22099;12054;0-1;1;0;34
9027;16059;1-0;0;0;24
9028;16060;0-1;0;0;4
10027;16061;1-0;1;0;45
10028;16061;2-0;0;0;68
10029;16062;1-0;1;0;74
10030;16062;2-0;0;0;86
10031;16063;1.tammi;0;1;54
10032;16064;1-0;0;0;45
10033;16065;2.tammi;0;0;65
10034;16065;2.helmi;0;0;75
10035;16066;1-0;0;0;10
10036;16067;0-1;0;0;22
11027;16068;1-0;1;1;70
11028;16068;2-0;0;0;72
11029;16070;1.tammi;0;0;47
12027;16071;1-0;0;0;18
12028;16071;2-0;1;0;32
12029;16071;3.tammi;0;0;95
12030;16073;1.tammi;0;0;81
12031;16074;1-0;0;0;49
12032;16075;1-0;0;0;5
12033;16075;2-0;1;0;29
12034;16075;3-0;0;0;54
12035;16075;4-0;0;0;60
13027;16077;2.tammi;0;0;75
13028;16077;2.helmi;0;0;77
13029;16078;1-0;1;0;11
13030;16078;2-0;0;0;45
13031;16079;0-1;0;0;49
13032;16080;1-0;0;0;38
14027;16082;1-0;1;1;44
14028;16083;0-1;0;0;22
14029;16083;0-2;1;0;33
14030;16083;0-3;0;0;40
14031;16084;0-1;1;0;64
14032;16084;0-2;0;0;84
14033;16084;0-3;0;0;86
14035;16089;1.tammi;0;0;32
14036;16089;3.helmi;0;0;90
14037;16089;3.maalis;0;0;91
14038;16090;1.maalis;0;0;68
15034;16093;0-1;0;0;16
15035;16093;1.helmi;1;0;89
15036;16094;1-0;0;0;6
15037;16094;2.tammi;0;0;44
15038;16096;3.tammi;0;0;49
15039;16096;3.helmi;0;0;65
15040;16097;1-0;0;0;6
