Id,GameId,Goal,Winner,Player,Assist,Penalty,Minute,FirstName,LastName,AssistFirstName,AssistLastName
38,16145,,True,0,0,False,68,Sakari,Tukiainen,Jani,Bäckman
40,16148,,True,0,0,False,96,Sakari,Mattila,Mostagh,Yaghoubi
42,6018,,True,0,0,False,58,Joel,Mattsson,,
49,6024,,True,0,0,False,80,Tino,Palmasto,,
50,9056,,True,0,0,False,12,,Tiquinho,Luis,Henrique
53,6025,,True,0,0,False,8,Jakob,Dunsby,,
54,6029,,True,0,0,False,23,Sakari,Tukiainen,Luis,Henrique
1045,6030,,True,0,0,False,60,Luis,Henrique,,
1050,6032,,True,0,0,False,72,Luis,Henrique,,Tiquinho
4045,6037,,True,0,0,False,73,Luis,Henrique,,
4047,6038,,True,0,0,False,16,Luis,Henrique,,
4053,6040,,True,0,0,False,87,,Tiquinho,,
4054,6041,,True,0,0,False,21,Sakari,Tukiainen,,Toró
6054,9058,,True,0,0,False,55,,Vitinho,,Tiquinho
9055,16063,,True,0,0,False,92,Pauli,Kuusijärvi,Youness,Rahimi
9059,16065,,True,0,0,False,86,Pekka,Sihvola,,
9061,16066,,True,0,0,False,89,Jani,Bäckman,,
11055,16072,,True,0,0,True,82,Joni,Korhonen,,
12054,12053,,True,0,0,False,56,Jabar,Sharza,Joel,Mattsson
12056,16076,,True,0,0,False,3,Esa,Terävä,,
12062,16081,,True,0,0,False,61,Pekka,Sihvola,,
13055,16085,,True,0,0,False,8,Eero,Peltonen,,
13060,16087,,True,0,0,False,38,Joni,Korhonen,,
13065,16090,,True,0,0,False,49,Ville,Salmikivi,,
13067,16091,,True,0,0,False,12,Sauli,Väisänen,,
14055,16092,,True,0,0,False,3,Juho,Mäkelä,,
14062,16096,,True,0,0,False,45,Juho,Mäkelä,Joni,Korhonen
17060,16106,,True,0,0,False,55,Tommi,Vesala,,
18058,16111,,True,0,0,False,54,Pekka,Sihvola,Matias,Hänninen
18063,16119,,True,0,0,False,87,Jani,Bäckman,Juho,Mäkelä
18066,16121,,True,0,0,False,55,Pauli,Kuusijärvi,Mika,Väyrynen
18068,16122,,True,0,0,False,43,Juho,Mäkelä,,
19056,16124,,True,0,0,False,73,Pekka,Sihvola,Ville,Salmikivi
19062,17153,,True,0,0,False,32,Mikael,Forssell,Nnaemeka,Anyamele
20061,17162,,True,0,0,False,60,Pauli,Kuusijärvi,Jukka,Halme
21063,18153,,True,0,0,False,73,Mikael,Forssell,Pekka,Sihvola
21067,18155,,True,0,0,False,58,Pekka,Sihvola,Carljohan,Eriksson
21074,18161,,True,0,0,False,54,Juho,Mäkelä,,
21075,18162,,True,0,0,False,5,Juho,Mäkelä,Jukka,Halme
21135,11054,,True,0,0,False,12,Sakari,Tukiainen,,
21140,9062,,True,0,0,False,89,Eero-Matti,Auvinen,Mostagh,Yaghoubi
