Id,GameId,Score,Winner,Penalty,Minute
13,16144,0-1,True,False,3
14,16144,0-2,False,False,7
15,16144,0-3,False,False,14
16,16147,0-1,True,False,18
17,16147,0-2,False,False,30
18,16147,0-3,False,False,67
19,16148,1-1,False,False,79
20,6015,1-0,True,False,85
21,6016,0-1,True,False,60
22,6017,1-0,False,False,49
23,6019,1-0,True,False,33
24,6020,1-1,False,False,83
25,6021,1-1,False,False,39
26,6022,1-1,False,False,76
27,6023,1-1,False,False,55
28,6024,2-1,False,False,93
29,6027,0-1,True,False,9
30,6027,0-2,False,False,32
31,6028,1-0,True,False,7
32,6028,2-0,False,False,55
33,6028,3-0,False,False,84
1023,6030,1-1,False,False,43
1024,6031,1-1,False,False,53
1025,6032,0-1,False,False,25
1026,6032,0-2,False,False,44
2023,6033,1-1,False,False,10
2024,6033,2-2,False,False,16
2025,6033,3-2,True,False,65
3023,6034,0-1,False,False,8
3024,6034,2-2,False,False,87
3025,6035,1-1,False,False,55
3026,6035,2-1,True,False,77
3027,6035,3-1,False,False,80
3028,6036,1-1,False,False,45
3029,6036,2-1,False,True,62
3030,6036,3-1,True,False,75
4023,6037,1-1,False,False,68
4024,6039,1-0,False,False,6
4025,6039,2-2,False,False,72
4026,6040,1-0,False,False,22
4027,6040,2-2,False,True,81
5027,9057,1-1,False,False,14
5028,9057,2-1,False,False,24
9027,16059,1-0,False,False,24
9028,16060,0-1,False,False,4
10027,16061,1-0,True,False,45
10028,16061,2-0,False,False,68
10029,16062,1-0,True,False,74
10030,16062,2-0,False,False,86
10031,16063,1-1,False,True,54
10032,16064,1-0,False,False,45
10033,16065,2-1,False,False,65
10034,16065,2-2,False,False,75
10035,16066,1-0,False,False,10
10036,16067,0-1,False,False,22
11027,16068,1-0,True,True,70
11028,16068,2-0,False,False,72
11029,16070,1-1,False,False,47
12027,16071,1-0,False,False,18
12028,16071,2-0,True,False,32
12029,16071,3-1,False,False,95
12030,16073,1-1,False,False,81
12031,16074,1-0,False,False,49
12032,16075,1-0,False,False,5
