Id,GameId,Score,Winner,Penalty,Minute
9027,16059,1-0,False,False,24
9028,16060,0-1,False,False,4
10027,16061,1-0,True,False,45
10028,16061,2-0,False,False,68
10029,16062,1-0,True,False,74
10030,16062,2-0,False,False,86
10031,16063,1-1,False,True,54
10032,16064,1-0,False,False,45
10033,16065,2-1,False,False,65
10034,16065,2-2,False,False,75
10035,16066,1-0,False,False,10
10036,16067,0-1,False,False,22
11027,16068,1-0,True,True,70
11028,16068,2-0,False,False,72
11029,16070,1-1,False,False,47
12027,16071,1-0,False,False,18
12028,16071,2-0,True,False,32
12029,16071,3-1,False,False,95
12030,16073,1-1,False,False,81
12031,16074,1-0,False,False,49
12032,16075,1-0,False,False,5
12033,16075,2-0,True,False,29
12034,16075,3-0,False,False,54
12035,16075,4-0,False,False,60
13027,16077,2-1,False,False,75
13028,16077,2-2,False,False,77
13029,16078,1-0,True,False,11
13030,16078,2-0,False,False,45
13031,16079,0-1,False,False,49
13032,16080,1-0,False,False,38
14027,16082,1-0,True,True,44
14028,16083,0-1,False,False,22
14029,16083,0-2,True,False,33
14030,16083,0-3,False,False,40
14031,16084,0-1,True,False,64
14032,16084,0-2,False,False,84
14033,16084,0-3,False,False,86
14034,20149,1-0,True,False,62
14035,16089,1-1,False,False,32
14036,16089,3-2,False,False,90
14037,16089,3-3,False,False,91
14038,16090,1-3,False,False,68
15034,16093,0-1,False,False,16
15035,16093,1-2,True,False,89
15036,16094,1-0,False,False,6
15037,16094,2-1,False,False,44
15038,16096,3-1,False,False,49
15039,16096,3-2,False,False,65
15040,16097,1-0,False,False,6
15041,16097,2-1,True,False,36
15042,16097,3-1,False,False,73
16034,16098,1-1,False,False,51
17034,16099,1-0,False,False,9
17035,16099,2-1,True,False,88
18034,16100,0-1,True,False,57
18035,16101,1-0,False,False,2
18036,16101,2-1,True,False,11
18037,16102,0-1,True,False,59
18038,16103,0-1,False,False,12
18039,16103,0-2,True,False,41
18040,16104,1-0,True,False,60
18041,16105,1-1,False,False,57
18042,16105,2-2,False,False,68
18043,16106,1-1,False,False,40
19034,16107,1-0,True,False,61
19035,16108,0-1,True,False,89
19036,16109,1-0,True,True,38
