Id,GameId,Score,Winner,Penalty,Minute
13,16144,0-1,True,False,3
14,16144,0-2,False,False,7
15,16144,0-3,False,False,14
16,16147,0-1,True,False,18
17,16147,0-2,False,False,30
18,16147,0-3,False,False,67
20,6015,1-0,True,False,85
21,6016,0-1,True,False,60
22,6017,1-0,False,False,49
23,6019,1-0,True,False,33
24,6020,1-1,False,False,83
25,6021,1-1,False,False,39
26,6022,1-1,False,False,76
27,6023,1-1,False,False,55
28,6024,2-1,False,False,93
29,6027,0-1,True,False,9
30,6027,0-2,False,False,32
31,6028,1-0,True,False,7
32,6028,2-0,False,False,55
33,6028,3-0,False,False,84
1023,6030,1-1,False,False,43
1024,6031,1-1,False,False,53
1025,6032,0-1,False,False,25
1026,6032,0-2,False,False,44
2023,6033,1-1,False,False,10
2024,6033,2-2,False,False,16
2025,6033,3-2,True,False,65
3023,6034,0-1,False,False,8
3024,6034,2-2,False,False,87
3025,6035,1-1,False,False,55
3026,6035,2-1,True,False,77
3027,6035,3-1,False,False,80
3028,6036,1-1,False,False,45
3029,6036,2-1,False,True,62
3030,6036,3-1,True,False,75
4023,6037,1-1,False,False,68
4024,6039,1-0,False,False,6
4025,6039,2-2,False,False,72
4026,6040,1-0,False,False,22
4027,6040,2-2,False,True,81
