Id,GameId,Score,Winner,Penalty,Minute
22,6017,1-0,False,False,49
29,6027,0-1,True,False,9
30,6027,0-2,False,False,32
9028,16060,0-1,False,False,4
12031,16074,1-0,False,False,49
13032,16080,1-0,False,False,38
18035,16101,1-0,False,False,2
18036,16101,2-1,True,False,11
20034,16124,2-1,False,False,83
22043,18151,1-0,True,False,19
22044,18151,2-0,False,False,44
22055,18158,1-0,False,False,55
22056,18158,2-1,True,False,76
22103,9062,2-1,False,False,24
22104,9062,3-2,False,False,52
22105,9062,3-3,False,True,80
25111,11056,1-0,True,False,73
25112,11056,2-0,False,True,79
25113,11056,3-0,False,False,85
