Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo,Referee
9064,IFK Mariehamn,19.9.2020 17.00.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 19.09.2020 17.00 HIFK - IFK Mariehamn 2-2     Bolt Arena,Oliver Reitala
9063,FC Inter,14.9.2020 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 14.09.2020 18.30 HIFK - FC Inter 0-0     Bolt Arena,Antti Munukka
9062,HJK,10.9.2020 18.30.00,Veikkausliiga,4-3,1,Bolt Arena,True,Home,Veikkausliiga 10.09.2020 18.30 HIFK - HJK 4-3     Bolt Arena,Mattias Gestranius
11054,Esport Honka,1.9.2020 18.30.00,Veikkausliiga,0-1,1,Tapiolan urheilupuisto,False,Away,Veikkausliiga 01.09.2020 18.30 Esport Honka - HIFK 0-1     Tapiolan urheilupuisto,Oskari Hämäläinen
9059,TPS,26.8.2020 18.30.00,Veikkausliiga,1-0,2,Veritas Stadion,False,Away,Veikkausliiga 26.08.2020 18.30 TPS - HIFK 1-0     Veritas Stadion,Dennis Antamo
12054,Haka,23.8.2020 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 23.08.2020 18.30 HIFK - Haka 0-1     Bolt Arena,Toni Pohjoismäki
11053,FC Inter,14.8.2020 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Away,Veikkausliiga 14.08.2020 18.30 FC Inter - HIFK 3-2     Veritas Stadion,Petri Viljanen
12053,TPS,10.8.2020 18.30.00,Veikkausliiga,2-0,1,Bolt Arena,True,Home,Veikkausliiga 10.08.2020 18.30 HIFK - TPS 2-0     Bolt Arena,Mohammad Al-Emara
9058,Haka,5.8.2020 18.30.00,Veikkausliiga,0-2,1,Tehtaan kenttä,False,Away,Veikkausliiga 05.08.2020 18.30 Haka - HIFK 0-2     Tehtaan kenttä,Dennis Antamo
9057,Ilves,1.8.2020 17.00.00,Veikkausliiga,2-2,0,Tammelan Stadion,False,Away,Veikkausliiga 01.08.2020 17.00 Ilves - HIFK 2-2     Tammelan Stadion,Jari Järvinen
9056,IFK Mariehamn,26.7.2020 18.30.00,Veikkausliiga,0-3,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 26.07.2020 18.30 IFK Mariehamn - HIFK 0-3     Wiklöf Holding Arena,Petri Viljanen
16148,SJK,22.7.2020 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 22.07.2020 18.30 HIFK - SJK 2-1     Bolt Arena,Oskari Hämäläinen
