Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo
6,IFK Mariehamn,29.2.2020 19.00.00,Suomen Cup,2-2,0,Eckeröhallen,False,Away,Suomen Cup 29.02.2020 19.00 IFK Mariehamn - HIFK 2-2     Eckeröhallen
5,FC Inter,14.2.2020 18.00.00,Suomen Cup,1-1,0,Talin jalkapallohalli,True,Home,Suomen Cup 14.02.2020 18.00 HIFK - FC Inter 1-1     Talin jalkapallohalli
4,TPS,7.2.2020 14.00.00,Suomen Cup,1-0,2,LähiTapiola Areena,False,Away,Suomen Cup 07.02.2020 14.00 TPS - HIFK 1-0     LähiTapiola Areena
3,HJK,1.2.2020 13.30.00,Suomen Cup,1-2,2,Talin jalkapallohalli,True,Home,Suomen Cup 01.02.2020 13.30 HIFK - HJK 1-2     Talin jalkapallohalli
1,Esport Honka,26.1.2020 15.00.00,Suomen Cup,1-1,0,Esport Arena,False,Away,Suomen Cup 26.01.2020 15.00 Esport Honka - HIFK 1-1     Esport Arena
6051,IFK Mariehamn,3.3.2019 18.00.00,Suomen Cup,3-0,2,Eckeröhallen,False,Away,Suomen Cup 03.03.2019 18.00 IFK Mariehamn - HIFK 3-0     Eckeröhallen
6050,FC Inter,23.2.2019 13.00.00,Suomen Cup,1-3,2,Talin jalkapallohalli,True,Home,Suomen Cup 23.02.2019 13.00 HIFK - FC Inter 1-3     Talin jalkapallohalli
6049,Esport Honka,9.2.2019 16.00.00,Suomen Cup,1-2,2,Talin jalkapallohalli,True,Home,Suomen Cup 09.02.2019 16.00 HIFK - Esport Honka 1-2     Talin jalkapallohalli
6048,FC Lahti,2.2.2019 14.00.00,Suomen Cup,2-1,2,Mukkulan kuplahalli,False,Away,Suomen Cup 02.02.2019 14.00 FC Lahti - HIFK 2-1     Mukkulan kuplahalli
13053,HJK,29.1.2019 17.00.00,Suomen Cup,1-0,2,Talin jalkapallohalli,False,Away,Suomen Cup 29.01.2019 17.00 HJK - HIFK 1-0     Talin jalkapallohalli
15058,HJK,24.2.2018 14.00.00,Suomen Cup,1-0,2,Talin jalkapallohalli,False,Away,Suomen Cup 24.02.2018 14.00 HJK - HIFK 1-0     Talin jalkapallohalli
15057,Esport Honka,16.2.2018 18.00.00,Suomen Cup,2-3,2,Talin jalkapallohalli,True,Home,Suomen Cup 16.02.2018 18.00 HIFK - Esport Honka 2-3     Talin jalkapallohalli
15056,KTP,9.2.2018 18.00.00,Suomen Cup,3-1,1,Talin jalkapallohalli,True,Home,Suomen Cup 09.02.2018 18.00 HIFK - KTP 3-1     Talin jalkapallohalli
15055,PEPO,4.2.2018 13.00.00,Suomen Cup,1-4,1,Aviasport Areena,False,Away,Suomen Cup 04.02.2018 13.00 PEPO - HIFK 1-4     Aviasport Areena
15054,IF Gnistan,19.1.2018 18.00.00,Suomen Cup,1-1,0,Talin jalkapallohalli,True,Home,Suomen Cup 19.01.2018 18.00 HIFK - IF Gnistan 1-1     Talin jalkapallohalli
16058,HJK,1.3.2017 17.00.00,Suomen Cup,4-0,2,Talin jalkapallohalli,False,Away,Suomen Cup 01.03.2017 17.00 HJK - HIFK 4-0     Talin jalkapallohalli
16057,KTP,18.2.2017 16.00.00,Suomen Cup,3-0,1,Talin jalkapallohalli,True,Home,Suomen Cup 18.02.2017 16.00 HIFK - KTP 3-0     Talin jalkapallohalli
16056,IF Gnistan,11.2.2017 12.00.00,Suomen Cup,0-2,2,Talin jalkapallohalli,True,Home,Suomen Cup 11.02.2017 12.00 HIFK - IF Gnistan 0-2     Talin jalkapallohalli
16055,Esport Honka,4.2.2017 13.00.00,Suomen Cup,3-0,2,Esport Arena,False,Away,Suomen Cup 04.02.2017 13.00 Esport Honka - HIFK 3-0     Esport Arena
16054,GrIFK,21.1.2017 12.00.00,Suomen Cup,2-2,0,Talin jalkapallohalli,True,Home,Suomen Cup 21.01.2017 12.00 HIFK - GrIFK 2-2     Talin jalkapallohalli
