Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo,Referee
12054,Haka,23.8.2020 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 23.08.2020 18.30 HIFK - Haka 0-1     Bolt Arena,Toni Pohjoismäki
11053,FC Inter,14.8.2020 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Away,Veikkausliiga 14.08.2020 18.30 FC Inter - HIFK 3-2     Veritas Stadion,Petri Viljanen
12053,TPS,10.8.2020 18.30.00,Veikkausliiga,2-0,1,Bolt Arena,True,Home,Veikkausliiga 10.08.2020 18.30 HIFK - TPS 2-0     Bolt Arena,Mohammad Al-Emara
9058,Haka,5.8.2020 18.30.00,Veikkausliiga,0-2,1,Tehtaan kenttä,False,Away,Veikkausliiga 05.08.2020 18.30 Haka - HIFK 0-2     Tehtaan kenttä,Dennis Antamo
9057,Ilves,1.8.2020 17.00.00,Veikkausliiga,2-2,0,Tammelan Stadion,False,Away,Veikkausliiga 01.08.2020 17.00 Ilves - HIFK 2-2     Tammelan Stadion,Jari Järvinen
9056,IFK Mariehamn,26.7.2020 18.30.00,Veikkausliiga,0-3,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 26.07.2020 18.30 IFK Mariehamn - HIFK 0-3     Wiklöf Holding Arena,Petri Viljanen
16148,SJK,22.7.2020 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 22.07.2020 18.30 HIFK - SJK 2-1     Bolt Arena,Oskari Hämäläinen
16147,FC Lahti,18.7.2020 17.00.00,Veikkausliiga,0-3,2,Bolt Arena,True,Home,Veikkausliiga 18.07.2020 17.00 HIFK - FC Lahti 0-3     Bolt Arena,Mattias Gestranius
16145,RoPS,8.7.2020 18.30.00,Veikkausliiga,0-1,1,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 08.07.2020 18.30 RoPS - HIFK 0-1     Rovaniemen keskuskenttä,Mohammad Al-Emara
16144,KuPS,1.7.2020 18.30.00,Veikkausliiga,0-3,2,Bolt Arena,True,Home,Veikkausliiga 01.07.2020 18.30 HIFK - KuPS 0-3     Bolt Arena,Antti Munukka
