FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
,Tiquinho,37,14,7,3,0,2724,32,5,5
Luis,Henrique,22,9,3,7,0,1469,15,7,7
Sakari,Tukiainen,23,8,1,1,0,1356,17,6,6
Joel,Mattsson,35,6,1,2,0,2960,32,3,5
Jakob,Dunsby,14,3,0,3,0,898,11,3,3
Kevin,Larsson,28,2,1,2,0,1191,10,18,29
Jabar,Sharza,18,2,2,4,0,1157,14,4,5
Jukka,Halme,29,2,1,8,0,2331,28,1,4
Hassan,Sesay,23,1,1,4,0,1937,23,0,4
Tino,Palmasto,11,1,0,2,0,510,5,6,9
Adama,Fofana,6,1,0,2,0,329,5,1,2
Xhevdet,Gela,10,1,1,0,0,740,7,3,9
Jani,Bäckman,34,1,3,13,1,2709,31,3,3
Fernando,Cozar Torres,7,0,0,0,0,295,4,3,3
Thais,Damgaard,2,0,0,0,0,93,1,1,6
Remi,Dujardin,1,0,0,0,0,90,1,0,0
John,Fagerström,1,0,0,0,0,45,0,1,2
Tuukka,Andberg,24,0,0,2,0,1423,13,11,20
Eero-Matti,Auvinen,2,0,0,1,0,180,2,0,1
Macario,Hing-Glover,15,0,1,0,0,1261,15,0,1
Otto,Huuhtanen,0,0,0,0,0,0,0,0,4
Otto-Pekka,Jurvainen,0,0,0,0,0,0,0,0,0
Tommi,Jyry,0,0,0,0,0,0,0,0,0
Robert,Kakeeto,5,0,0,1,1,408,5,0,2
Jaakko,Kivekäs,2,0,0,0,0,60,1,1,1
Daniel,Kollar,21,0,0,2,0,1831,20,1,11
Njazi,Kuqi,9,0,0,2,0,249,1,8,12
Tuukka,Kurki,0,0,0,0,0,0,0,0,0
Pauli,Kuusijärvi,0,0,0,0,0,0,0,0,0
Jarkko,Lahdenmäki,0,0,0,0,0,0,0,0,0
Silver,Grauberg,4,0,0,1,0,271,2,2,4
Samuel,Haglund,5,0,0,0,0,77,0,5,12
Joel,Mero,6,0,0,0,0,351,3,3,5
Hussein,Mohamed,6,0,0,1,0,224,2,4,8
Tuomas,Mustonen,0,0,0,0,0,0,0,0,0
Arnold,Origi,21,0,0,0,0,1845,21,0,1
Atte,Otronen,0,0,0,0,0,0,0,0,7
Jaako,Lepola,1,0,0,0,0,9,0,1,3
Sydney,Lokale,5,0,0,0,0,228,2,3,5
Tomi,Maanoja,0,0,0,0,0,0,0,0,0
Elsaid,Maher,3,0,0,0,0,58,0,3,7
Foday,Manneh,4,0,0,0,0,80,0,4,7
Tero,Mäntylä,23,0,1,8,0,1980,23,0,0
Sakari,Mattila,7,0,0,1,0,482,6,1,1
Hannu,Patronen,30,0,2,7,0,2402,29,1,2
Martti,Puolakainen,2,0,0,0,0,135,1,1,19
Daniel,Rantanen,0,0,0,0,0,0,0,0,0
Nikolas,Saira,21,0,0,3,1,1446,16,5,11
Riku,Selander,35,0,0,8,0,2768,31,4,7
Mauro,Severino,5,0,0,0,0,190,1,4,4
Matias,Hänninen,25,0,0,5,0,1759,18,7,17
Pekka,Sihvola,0,0,0,0,0,0,0,0,0
Esa,Terävä,0,0,0,0,0,0,0,0,0
,Toró,14,0,1,4,0,1191,14,0,3
Antti,Ulmanen,0,0,0,0,0,0,0,0,0
Tommi,Vesala,0,0,0,0,0,0,0,0,0
Tobias,Vibe,8,0,0,1,0,551,6,2,6
,Vitinho,1,0,0,0,0,90,1,0,0
Toivo,Xiong,1,0,0,0,0,90,1,0,0
Mostagh,Yaghoubi,3,0,0,0,0,207,3,0,0
