FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
Pekka,Sihvola,89,27,5,6,0,6505,71,18,22
Juho,Mäkelä,57,14,4,5,0,3349,37,20,26
Ville,Salmikivi,49,12,1,2,0,2771,28,21,29
Luis,Henrique,24,12,3,6,0,1825,19,5,5
,Tiquinho,35,11,8,6,0,2643,31,4,4
Mikael,Forssell,26,8,1,0,0,1546,17,9,15
Jani,Bäckman,86,6,6,24,2,5482,60,26,41
Jukka,Halme,88,6,4,23,1,6770,77,11,17
Sakari,Tukiainen,22,6,0,2,0,1150,14,8,9
Esa,Terävä,68,5,2,3,0,4341,52,16,29
Jabar,Sharza,20,4,1,3,0,1202,13,7,8
Aleksi,Ristola,34,4,1,5,0,1828,20,14,15
Joel,Mattsson,33,4,1,3,0,2670,30,3,4
Otto-Pekka,Jurvainen,48,4,0,4,0,3179,34,14,49
Joni,Korhonen,59,4,3,1,0,4553,50,9,13
Xhevdet,Gela,63,4,3,12,0,5388,60,3,10
Jakob,Dunsby,12,3,0,3,0,892,11,1,3
Pauli,Kuusijärvi,59,3,0,9,1,4955,56,3,9
Eero,Peltonen,40,3,1,1,0,2707,30,10,16
Sakari,Mattila,10,3,0,1,0,764,9,1,1
Tommi,Vesala,60,3,1,14,0,5083,57,3,7
Nnaemeka,Anyamele,70,2,7,7,1,4728,51,19,36
Tuomas,Aho,52,2,0,6,0,4391,49,3,12
Kastriot,Kastrati,13,2,0,0,0,355,3,10,16
Matias,Hänninen,90,2,3,13,0,6598,71,19,53
Fredrik,Lassas,61,1,1,11,0,3741,43,18,29
Jesse,Ahonen,11,1,0,1,0,479,6,5,19
Adama,Fofana,9,1,2,1,0,433,6,3,3
Own,Goal,0,1,0,0,0,0,0,0,1
Hassan,Sesay,20,1,1,4,0,1719,20,0,4
Youness,Rahimi,24,1,1,0,0,1553,16,8,10
Jukka,Sinisalo,33,1,1,6,0,2508,28,5,25
Juho,Pirttijoki,25,1,0,1,0,2250,25,0,0
Tino,Palmasto,3,1,0,1,0,86,0,3,6
,Vitinho,5,1,0,2,0,288,3,2,3
Sauli,Väisänen,6,1,0,1,0,540,6,0,1
Mika,Väyrynen,40,0,4,7,0,3455,39,1,2
Antti,Ulmanen,1,0,0,0,0,1,0,1,8
Mostagh,Yaghoubi,8,0,2,3,0,612,7,1,1
Tobias,Vibe,8,0,0,1,0,551,6,2,7
Hannu,Patronen,29,0,2,9,0,2335,28,1,3
Kevin,Larsson,24,0,1,2,0,802,5,19,29
Martti,Puolakainen,0,0,0,0,0,0,0,0,15
Jere,Piirainen,0,0,0,0,0,0,0,0,3
Joel,Mero,2,0,0,0,0,135,1,1,1
Tomi,Mikkelsson,1,0,0,0,0,63,0,1,2
Hussein,Mohamed,2,0,0,1,0,28,0,2,6
Tuomas,Mustonen,6,0,0,0,0,106,1,5,11
Arnold,Origi,21,0,0,2,1,1858,21,0,0
Atte,Otronen,0,0,0,0,0,0,0,0,18
Foday,Manneh,4,0,0,0,0,80,0,4,7
Rickson,Mansiamina,8,0,0,0,0,428,6,2,5
Tero,Mäntylä,23,0,1,8,0,2054,23,0,0
Kalle,Sotka,3,0,0,1,0,120,2,1,8
Ville,Taulo,19,0,0,3,0,924,13,6,8
Jussi,Tolonen,0,0,0,0,0,0,0,0,9
,Toró,14,0,1,4,0,1186,14,0,3
Kim,Raimi,15,0,0,6,0,1130,14,1,2
Daniel,Rantanen,4,0,0,0,0,148,2,2,11
Nikolas,Saira,20,0,0,1,0,1050,11,9,25
Riku,Selander,32,0,0,10,0,2609,29,3,7
Silver,Grauberg,0,0,0,0,0,0,0,0,1
Samuel,Haglund,2,0,0,0,0,9,0,2,9
Nosh,A Lody,27,0,0,4,2,2423,27,0,3
Carljohan,Eriksson,56,0,1,0,0,4977,56,0,37
John,Fagerström,6,0,0,1,0,271,2,4,7
Tuukka,Andberg,21,0,0,3,0,1481,15,6,25
Ville,Anttonen,0,0,0,0,0,0,0,0,1
Eero-Matti,Auvinen,3,0,0,1,0,259,3,0,2
Fernando,Cozar Torres,2,0,0,0,0,60,1,1,1
Thais,Damgaard,2,0,0,0,0,93,1,1,7
Sydney,Lokale,0,0,0,0,0,0,0,0,1
Tomi,Maanoja,30,0,0,3,0,2700,30,0,15
Elsaid,Maher,3,0,0,0,0,58,0,3,7
Jaakko,Kivekäs,0,0,0,0,0,0,0,0,4
Daniel,Kollar,17,0,0,1,0,1501,16,1,11
Njazi,Kuqi,6,0,0,2,0,148,0,6,11
Kristian,Heinolainen,0,0,0,0,0,0,0,0,4
Tommi,Jyry,3,0,0,0,0,149,1,2,8
Robert,Kakeeto,6,0,0,1,1,480,6,0,2
Macario,Hing-Glover,10,0,1,0,0,840,10,0,1
Otto,Huuhtanen,1,0,0,0,0,90,1,0,6
Eero,Hyökyvirta,0,0,0,0,0,0,0,0,1
Keaton,Isaksson,1,0,0,0,0,7,0,1,5
Abaas,Ismail,0,0,0,0,0,0,0,0,3
Mika,Johansson,13,0,0,0,0,1170,13,0,16
