FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
,Tiquinho,26,10,6,3,0,1969,23,3,3
Luis,Henrique,13,8,3,4,0,1096,12,1,1
Sakari,Tukiainen,13,5,0,0,0,589,8,5,5
Joel,Mattsson,22,4,0,1,0,1798,20,2,3
Jakob,Dunsby,12,3,0,3,0,892,11,1,3
Jabar,Sharza,10,2,1,1,0,663,8,2,3
Jani,Bäckman,22,1,2,8,0,1806,20,2,2
Own,Goal,0,1,0,0,0,0,0,0,1
Jukka,Halme,16,1,1,4,0,1326,15,1,3
Tino,Palmasto,2,1,0,1,0,78,0,2,4
Hassan,Sesay,20,1,1,4,0,1719,20,0,4
Macario,Hing-Glover,9,0,1,0,0,720,9,0,1
Riku,Selander,22,0,0,7,0,1757,20,2,5
Arnold,Origi,12,0,0,0,0,1049,12,0,0
Hannu,Patronen,21,0,2,6,0,1672,20,1,2
Atte,Otronen,0,0,0,0,0,0,0,0,2
Matias,Hänninen,15,0,0,5,0,1071,11,4,11
Tuukka,Andberg,12,0,0,2,0,740,7,5,12
Njazi,Kuqi,6,0,0,2,0,148,0,6,11
Tero,Mäntylä,22,0,1,8,0,1934,22,0,0
Daniel,Kollar,16,0,0,1,0,1381,15,1,11
Xhevdet,Gela,5,0,1,0,0,334,3,2,8
Robert,Kakeeto,5,0,0,1,1,407,5,0,2
Samuel,Haglund,2,0,0,0,0,9,0,2,9
Hussein,Mohamed,2,0,0,1,0,28,0,2,6
Elsaid,Maher,3,0,0,0,0,58,0,3,7
Thais,Damgaard,2,0,0,0,0,93,1,1,6
Tobias,Vibe,8,0,0,1,0,551,6,2,7
Martti,Puolakainen,0,0,0,0,0,0,0,0,14
,Toró,14,0,1,4,0,1186,14,0,3
Kevin,Larsson,17,0,1,2,0,608,4,13,22
Nikolas,Saira,12,0,0,1,0,890,10,2,7
Fernando,Cozar Torres,2,0,0,0,0,60,1,1,1
Foday,Manneh,4,0,0,0,0,80,0,4,7
Silver,Grauberg,0,0,0,0,0,0,0,0,1
