Id;OpponentId;DateTime;Serie;Result;Stadion;Home_match;Extra_time;Penalties;ResultCode;Attendance;RefereeId
7;12;2019-12-15 12:15:00.000;Friendly;5-0       ;Talin jalkapallohalli;1;0;0;1;NULL;NULL
6015;10;2019-04-06 15:00:00.000;Veikkausliiga;1-0;OmaSp Stadion;0;0;0;2;2269;NULL
6016;5;2019-04-15 18:30:00.000;Veikkausliiga;0-1;Telia 5G Areena;1;0;0;2;1573;NULL
6017;1;2019-04-23 18:30:00.000;Veikkausliiga;1.tammi;Telia 5G Areena;0;0;0;0;10251;NULL
6018;3;2019-04-29 18:30:00.000;Veikkausliiga;2-0;Telia 5G Areena;1;0;0;1;1901;NULL
6019;9;2019-05-03 18:30:00.000;Veikkausliiga;1-0;Rovaniemen keskuskenttä;0;0;0;2;1026;NULL
6020;6;2019-05-08 18:30:00.000;Veikkausliiga;1.tammi;Telia 5G Areena;1;0;0;0;1603;NULL
6021;8;2019-05-12 18:30:00.000;Veikkausliiga;1.tammi;Telia 5G Areena;1;0;0;0;1627;NULL
6022;18;2019-05-20 18:30:00.000;Veikkausliiga;1.tammi;Kokkolan keskuskenttä;0;0;0;0;1530;NULL
6023;4;2019-05-25 17:00:00.000;Veikkausliiga;1.tammi;Telia 5G Areena;1;0;0;0;1627;NULL
6024;23;2019-05-31 18:30:00.000;Veikkausliiga;2.tammi;Telia 5G Areena;1;0;0;1;1670;NULL
6025;10;2019-06-18 18:30:00.000;Veikkausliiga;1-0;Telia 5G Areena;1;0;0;1;1879;NULL
6026;5;2019-06-30 18:30:00.000;Veikkausliiga;0-0;Lahden kisapuisto;0;0;0;0;2784;NULL
6027;1;2019-07-04 18:30:00.000;Veikkausliiga;0-2;Telia 5G Areena;1;0;0;2;10256;NULL
6028;3;2019-07-13 13:00:00.000;Veikkausliiga;3-0;Tapiolan urheilupuisto;0;0;0;2;3512;NULL
6029;9;2019-07-21 17:00:00.000;Veikkausliiga;1-0;Telia 5G Areena;1;0;0;1;2103;NULL
6030;6;2019-07-28 17:00:00.000;Veikkausliiga;1.maalis;Wiklöf Holding Arena;0;0;0;1;1403;NULL
6031;8;2019-08-04 17:00:00.000;Veikkausliiga;1.tammi;Savon Sanomat Areena;0;0;0;0;2029;NULL
6032;18;2019-08-09 18:30:00.000;Veikkausliiga;3.helmi;Telia 5G Areena;1;0;0;1;2026;NULL
6033;4;2019-08-16 18:30:00.000;Veikkausliiga;3.helmi;Veritas Stadion;0;0;0;2;3644;NULL
6034;7;2019-08-23 18:30:00.000;Veikkausliiga;2.helmi;Telia 5G Areena;1;0;0;0;2085;NULL
6035;7;2019-08-27 18:30:00.000;Veikkausliiga;3.tammi;Tammelan Stadion;0;0;0;2;5004;NULL
