Id;Team;Stadium;;
1;HJK;2;;
2;Haka;9;;
3;Esport Honka;8;;
4;FC Inter;10;;
5;FC Lahti;13;;
6;IFK Mariehamn;15;;
7;Ilves;17;;
8;KuPS;19;;
9;RoPS;20;;
10;SJK;21;;
11;TPS;10;;
12;MyPa;23;;
13;AC Kajaani;24;;
14;EIF;25;;
15;AC Oulu;26;;
16;FF Jaro;27;;
17;IF Gnistan;28;;
18;KPV;29;;
19;KTP;30;;
20;MP;31;;
21;MuSa;32;;
22;SJK Akatemia;21;;
23;VPS;35;;
1005;FC Jazz;32;;
1008;JK Nõmme Kalju;39;;
2006;FC Rukh Brest;1037;;
2007;MFC Mykolaiv;1038;;
3004;PEPO;2038;;
4004;GrIFK;3037;;
4005;;3038;;
4006;PK-35 Vantaa;6;;
4007;PS Kemi;3039;;
4008;JJK;3040;;
4009;Klubi 04;2;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
