Id;FirstName;LastName;Number;YearOfAccession;ContractEndDate;BirthDate
1;Jukka;Halme;8;2011;31.12.2020;1985-05-29 00:00:00.000
2;Arnold;Origi;77;2019;31.12.2020;1983-11-15 00:00:00.000
1005;Hannu;Patronen;4;2019;31.12.2020;1984-05-23 00:00:00.000
1006;Atte;Otronen;35;7.heinä;31.12.2020;1992-07-28 00:00:00.000
1007;Tino;Palmasto;16;2019;31.12.2020;1998-10-09 00:00:00.000
1008;Hassan;Sesay;20;2019;17.2.2020;1987-10-22 00:00:00.000
1009;Macario;Hing-Glover;15;11.heinä;31.12.2021;1995-04-04 00:00:00.000
1010;Riku;Selander;6;11.heinä;31.12.2020;1994-11-22 00:00:00.000
1011;Jani;Bäckman;17;7.heinä;31.12.2020;1988-03-20 00:00:00.000
1012;Jabar;Sharza;10;11.heinä;31.12.2020;1994-04-06 00:00:00.000
1013;;Toró;50;11.heinä;17.2.2020;1986-04-13 00:00:00.000
1016;NULL;Tiquinho;14;2019;31.12.2020;1995-02-26 00:00:00.000
1017;Kevin;Larsson;19;2019;31.12.2021;2001-09-15 00:00:00.000
1019;Nikolas;Saira;40;2017;31.12.2020;1999-02-11 00:00:00.000
1020;Sakari;Tukiainen;11;2019;31.12.2020;1991-10-02 00:00:00.000
1021;Sakari;Mattila;3;2020;31.12.2022;1989-07-14 00:00:00.000
2020;Joel;Mero;2;12.heinä;31.12.2020;1995-02-07 00:00:00.000
2021;Otto;Huuhtanen;1;12.heinä;31.12.2022;2000-02-28 00:00:00.000
2022;Mostagh;Yaghoubi;7;12.heinä;31.12.2021;1994-11-08 00:00:00.000
9028;Martti;Puolakainen;30;11.heinä;31.12.2020;1994-08-12 00:00:00.000
10023;Luis;Henrique;9;11.heinä;8.9.2020;1998-03-17 00:00:00.000
11023;Adama;Fofana;24;12.heinä;31.12.2020;2001-01-04 00:00:00.000
11024;;Vitinho;98;12.heinä;31.12.2020;1998-09-08 00:00:00.000
12023;Joel;Mattsson;99;11.heinä;31.12.2020;1999-03-17 00:00:00.000
13023;Sydney;Lokale;21;2020;31.12.2020;2000-09-19 00:00:00.000
14023;Matias;Hänninen;18;2.heinä;31.12.2020;1991-03-15 00:00:00.000
15023;Tuukka;Andberg;34;9.heinä;31.12.2020;1998-05-01 00:00:00.000
15024;Njazi;Kuqi;99;2019;31.12.2019;1983-03-25 00:00:00.000
15025;Tero;Mäntylä;24;11.heinä;31.12.2019;1991-04-18 00:00:00.000
15026;Daniel;Kollar;12;9.heinä;31.12.2019;1994-03-29 00:00:00.000
15027;Xhevdet;Gela;6;8.heinä;31.12.2019;1989-11-14 00:00:00.000
15028;Robert;Kakeeto;33;2019;31.12.2019;1995-05-19 00:00:00.000
15029;Samuel;Haglund;80;2019;31.12.2019;1997-03-04 00:00:00.000
15030;Hussein;Mohamed;27;10.heinä;31.12.2019;1997-03-20 00:00:00.000
15031;Elsaid;Maher;22;2019;31.12.2019;1991-03-04 00:00:00.000
15032;Thais;Damgaard;29;2019;31.12.2019;2000-03-23 00:00:00.000
15033;Tobias;Vibe;2;11.heinä;31.12.2019;1990-08-19 00:00:00.000
15034;Jakob;Dunsby;13;2019;14.8.2019;2000-03-13 00:00:00.000
15035;Fernando;Cozar Torres;5;2018;1.7.2019;1991-03-02 00:00:00.000
15036;Foday;Manneh;25;11.heinä;31.12.2020;2000-01-14 00:00:00.000
15037;Silver;Grauberg;2;2019;14.8.2019;1996-11-26 00:00:00.000
15039;Own;Goal;100;22.kesä;31.12.2100;1900-12-31 00:00:00.000
15041;Jaakko;Kivekäs;30;2020;31.12.2020;1999-04-23 00:00:00.000
16038;Jaako;Lepola;6;2018;1.3.2019;1990-03-14 00:00:00.000
16039;Mauro;Severino;20;11.heinä;12.7.2019;1999-06-05 00:00:00.000
16040;Tomi;Maanoja;1;8.heinä;31.1.2019;1986-09-12 00:00:00.000
16041;Otto-Pekka;Jurvainen;11;2015;26.4.2019;1985-02-01 00:00:00.000
16042;Tommi;Jyry;20;2017;31.12.2018;1999-08-16 00:00:00.000
16043;Tuukka;Kurki;14;2018;31.12.2018;1999-04-23 00:00:00.000
16044;Jarkko;Lahdenmäki;2;2018;31.12.2018;1991-04-16 00:00:00.000
16045;Pekka;Sihvola;9;2015;31.12.2018;1984-04-22 00:00:00.000
16046;Esa;Terävä;13;2013;31.12.2018;1987-11-08 00:00:00.000
